title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid
Genelia D'Souza,,female,Christianity,,5008614
Alfred Dregger,,male,,Christian Democratic Union,2348763
Muqbil bin Hadi al-Wadi'i,,male,Islam,,13167992
John Kasich,Croatian Americans,male,Catholicism,Republican Party,643932
Nathaniel Hawthorne,,male,,Democratic Party,21787
Udo von Woyrsch,,male,,Nazi Party,2576818
Albert R. Broccoli,Italian Americans,male,,,541497
Josef Bühler,,male,,Nazi Party,670663
Anne Enright,Irish people,female,,,13723134
Thibaut Courtois,,male,Christianity,,30657971
Eduard Bernstein,Jewish people,male,Reform Judaism,Social Democratic Party of Germany,340280
Alfred Rosenberg,,male,Lutheranism,German Workers' Party,50050
Abdurrahman Wahid,,male,Sunni Islam,National Awakening Party,296515
Siegfried Lenz,,male,,Nazi Party,1398976
Eva Braun,,female,lapsed Catholic,,9210500
Rainer Maria Rilke,Austrians,male,,,26408
Max Scheler,,male,Catholic Church,,796629
"Joseph II, Holy Roman Emperor",No label defined,male,Catholic Church,,148313
Johann Ernst Hanxleden,,male,Catholic Church,,1552444
Karl Kautsky,,male,atheism,Social Democratic Party of Germany,44379533
Gregor Strasser,,male,,Nazi Party,431207
Frank-Walter Steinmeier,,male,Continental Reformed Protestantism,Social Democratic Party of Germany,2897286
Hans Poelzig,,male,Lutheranism,,1917799
Rudolf Höss,,male,Catholic Church,Nazi Party,409605
Otto of Greece,,male,Catholic Church,,193686
"Frederick III, Elector of Saxony",,male,Lutheranism,,256460
Johannes Hahn,,male,,Austrian People's Party,25210765
Othmar Spann,,male,,Nazi Party,362445
John Milton,English people,male,Anglicanism,,16215
Al Capone,,male,Catholicism,,3212
Nicolae Ceaușescu,,male,Eastern Orthodox Church,Romanian Communist Party,49562
Charlton Heston,,male,Episcopal Church,Republican Party,46165
Harrison Ford,,male,Judaism,Democratic Party,44059
Aldous Huxley,,male,Hinduism,,628
Jürgen Klopp,,male,Lutheranism,,17541051
"Choekyi Gyaltsen, 10th Panchen Lama",Tibetan people,male,Buddhism,,1755560
Béla Bartók,,male,Unitarianism,,4527
Cary Grant,,male,,California Republican Party,38965
Sher Shah Suri,,male,Islam,,797298
Khushal Khattak,Pashtuns,male,Sunni Islam,,613666
"Joanna of Austria, Grand Duchess of Tuscany",,female,Catholicism,,7586510
Anton Rubinstein,Russian Jews,male,atheism,,152755
Slobodan Jovanović,Serbs,male,,independent politician,2241898
Wilhelm Carl von Rothschild,,male,Judaism,,34856897
Ehud Olmert,,male,Judaism,Kadima,848569
Nikolai Rimsky-Korsakov,,male,Eastern Orthodoxy,,75847
Archduchess Maria Maddalena of Austria,,female,Catholicism,,5939160
Paul Lazarsfeld,,male,,French Section of the Workers' International,427665
James Wilson (businessman),,male,Quakers,Whigs,517256
Norma Shearer,,female,,Republican Party,61354
Warren Beatty,,male,,Democratic Party,62809
Murad I,,male,Islam,,19986
Larry Hagman,,male,,Democratic Party,324168
Fred Astaire,,male,,Republican Party,64962
Pope Adeodatus II,,male,Catholic Church,,439561
Steven Soderbergh,,male,atheism,,27337
Charlie Sheen,Spanish American,male,Catholic Church,Republican Party,278119
Mickey Rooney,,male,,Republican Party,87624
Frederick William I of Prussia,,male,Calvinism,,11794
Sidney Sheldon,,male,Judaism,,345575
Tom Clancy,,male,Catholic Church,Republican Party,30265
Dan Aykroyd,,male,spiritualism,,49650
Geert Wilders,Limburgers,male,,People's Party for Freedom and Democracy,1191676
Holly Hunter,,female,atheism,,18220755
Kevin Kline,,male,Catholicism,,221558
Charles Boyer,,male,Catholicism,,98968
Yves Montand,,male,Catholicism,,70666
Samuel Pepys,,male,Anglicanism,,27808
John Cusack,,male,Catholicism,,223253
Ghalib,,male,Twelver Shiism,,3061617
Jim Belushi,,male,Eastern Orthodox Church,,430546
Gregory Peck,,male,Catholicism,Democratic Party,77491
James Garner,,male,,Democratic Party,168544
William Julius Wilson,African Americans,male,,,361975
Judas Maccabeus,Hebrews,male,Judaism,,316400
Archduke Rainer Ferdinand of Austria,,male,Catholicism,,17260056
Archduke Wilhelm of Austria,Austrians,male,,,9155562
Abelardo L. Rodríguez,,male,atheism,Institutional Revolutionary Party,436344
Albert Rösti,,male,,Swiss People's Party,50294244
Howard Zinn,,male,atheism,,88493
"Anne, Queen of Great Britain",,female,Anglicanism,,46684
Martin O'Malley,,male,Catholicism,Democratic Party,872237
Colonel Sanders,,male,Christian Church (Disciples of Christ),,26889895
Krishnadevaraya,,male,Hinduism,,1201387
Charles II of England,,male,Anglicanism,,46688
Brother Roger,,male,Protestantism,,2469861
Marquis de Sade,,male,atheism,,21345243
Nagasena,,male,Buddhism,,591320
Frank Zappa,,male,atheism,Democratic Party,10672
Bahadur Shah Zafar,,male,Sunni Islam,,368629
Douglas MacArthur,,male,,Republican Party,48596
Luke the Evangelist,,male,Christianity,,18710
Edward Heath,,male,Anglicanism,Conservative Party,52269
Xerxes I,,male,Zoroastrianism,,46289
Francis I of France,,male,Catholic Church,,50012
Alexander Rybak,Belarusians,male,Christianity,,8127963
Zulfikar Ali Bhutto,,male,Islam,Pakistan Peoples Party,401102
George II of Great Britain,,male,Lutheranism,,46389
David Scott (Georgia politician),,male,Baptists,Democratic Party,411853
Sania Mirza,,female,Islam,,399783
Pope Paul V,,male,Catholic Church,,52731
Susan Sarandon,,female,Catholicism,Democratic Party,68323
Sylvia Plath,,female,Unitarianism,,28699
Nawaz Sharif,,male,Sunni Islam,Pakistan Muslim League,374012
Magic Johnson,,male,Christianity,Democratic Party,36753
Yukio Mishima,,male,Buddhism,,101631
Ted Kennedy,,male,Catholicism,Democratic Party,184136
Pope Boniface VIII,,male,Catholic Church,,24060
Camille Pissarro,French,male,,,7434
Abdul Hamid II,,male,Islam,,18950786
Alfred Radcliffe-Brown,,male,atheism,,813030
James V of Scotland,,male,Catholicism,,50552
Park Geun-hye,,female,atheism,Liberty Korea Party,2354070
Hurshid Pasha,,male,Islam,,5945793
George Meany,,male,Catholicism,,607234
Moctezuma II,,male,Aztec religion,,20747
Mahasweta Devi,,female,Hinduism,,1249907
Robert Taylor (American actor),,male,,Republican Party,317998
Ida Lupino,,female,,Democratic Party,460446
"Rudolf II, Holy Roman Emperor",Czechs,male,Catholic Church,,26054
"Ferdinand I, Holy Roman Emperor",,male,Catholic Church,,151069
Anthony van Dyck,Flemings,male,,,294462
Benjamin Britten,,male,Anglicanism,,64437
Vidkun Quisling,,male,,Nasjonal Samling,32429
Gunnar Myrdal,,male,,Swedish Social Democratic Party,743437
Mikhail Khodorkovsky,,male,,Communist Party of the Soviet Union,299696
Alfredo Stroessner,,male,Catholic Church,Colorado Party,167560
Josiah Willard Gibbs,,male,,Republican Party,37332
Christian IV of Denmark,,male,Lutheranism,,150876
Amanullah Khan,,male,Islam,,788767
Francis Bacon (artist),Irish people,male,,,206186
Norman Borlaug,,male,Lutheranism,,275564
Herbert von Karajan,,male,,Nazi Party,251388
Eugene Wigner,Jewish people,male,,,10101
"Sir George Stokes, 1st Baronet",,male,Anglicanism,,212838
Anniken Huitfeldt,,female,,Norwegian Labour Party,5715149
"Anna of Austria, Queen of Spain",,female,Catholic Church,,7659764
Emperor Taishō,,male,Shinto,,23648993
Mary of Hungary (governor of the Netherlands),,female,Christianity,,879852
Bronisław Geremek,,male,,Freedom Union,816219
Heydar Aliyev,,male,Shia Islam,Communist Party of the Soviet Union,399787
"Catherine of Austria, Queen of Portugal",,female,Catholic Church,,1785319
Kirron Kher,,female,,Bharatiya Janata Party,30865214
Isabella Clara Eugenia,,female,Catholic Church,,558253
Mariss Jansons,,male,Lutheranism,,723087
"Albert II, Duke of Austria",,male,Christianity,,1151624
Manoj Bajpayee,,male,Hinduism,,2872199
Chulalongkorn,,male,Buddhism,,202262
Carlos I of Portugal,,male,Catholicism,,252658
Tom Tancredo,,male,,Republican Party,410147
Murad III,,male,Sunni Islam,,19989
Victoria Eugenie of Battenberg,,female,Catholic Church,,317860
"Charles Edward, Duke of Saxe-Coburg and Gotha",,male,Lutheranism,Nazi Party,433228
Hideki Tojo,,male,Jōdo Shinshū,Taisei Yokusankai,38873148
Edward Gibbon,English people,male,Catholicism,Whigs,10310
Alberto Moravia,,male,atheism,Italian Communist Party,1185988
Jefferson Davis,,male,,Democratic Party,16134
Lady Jane Grey,,female,Anglicanism,,4380457
Tony Curtis,,male,,Democratic Party,68375
Ava Gardner,,female,atheism,Democratic Party,43115
Princess Victoria Melita of Saxe-Coburg and Gotha,,female,Anglicanism,,1548464
Paulo Freire,,male,Catholicism,Workers' Party,618870
Girolamo Savonarola,,male,Catholic Church,,50139
Ernest Mandel,,male,,Communist Party of Germany,42034744
Ivan Mazepa,,male,Eastern Orthodoxy,,790206
Pope John XXII,,male,Catholic Church,,37670
Philipp Otto Runge,Germans,male,,,1548882
Frans Hals,Dutch,male,,,46089
Shaquille O'Neal,,male,Islam,,147726
John II of France,,male,Christianity,,77502
Ja'far al-Sadiq,,male,Twelver Shiism,,429918
Vincenzo Bellini,Italians,male,,,32668
Pope Clement VIII,,male,Catholic Church,,24120
Omar Sharif,,male,Christianity,,189930
Alec Baldwin,,male,,Democratic Party,182532
Ivan III of Russia,,male,Eastern Orthodoxy,,148191
Omar Bongo,,male,Islam,Gabonese Democratic Party,392403
Chaim Weizmann,,male,Judaism,General Zionists,189474
Aleister Crowley,,male,Thelema,,1177
Swami Satchidananda Saraswati,,male,Hinduism,,1643704
Abdulmejid I,,male,Islam,,18950719
Tertullian,,male,Montanism,,31204
William H. Crawford,,male,,Democratic-Republican Party,380656
John Bright,,male,,Liberal Party,251195
Hakuin Ekaku,,male,Rinzai school,,1156687
Paolo Rossi,,male,,National Alliance,615871
Mikhail Botvinnik,,male,atheism,Communist Party of the Soviet Union,242416
Helen Clark,,female,,New Zealand Labour Party,22838615
Jin Yong,,male,,Hong Kong Federation of Trade Unions,349150
François Boucher,French,male,,,44517
Ivan Aivazovsky,Armenians,male,,,763478
Ray Milland,,male,,California Republican Party,53505
Gennady Zyuganov,,male,Eastern Orthodox Church,Communist Party of the Soviet Union,478323
