title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid
Tom Hanks,Portuguese Americans,male,Eastern Orthodoxy,Democratic Party,43568
Willy Brandt,,male,Protestant Church in Germany,Socialist Workers' Party of Germany,49260
Pope Pius XII,,male,Catholic Church,,23808
Antoine de Saint-Exupéry,French,male,Catholicism,,63174
Paul Simon,,male,Judaism,,50745
Adam Carolla,,male,atheism,Republican Party,2723
Alpha Condé,,male,Islam,Rally of the Guinean People,3556592
Edward II of England,,male,Christianity,,44848
Adolf Butenandt,,male,,Nazi Party,728231
Greta Garbo,Swedish Americans,female,Lutheranism,,63436
Antonio Canova,Italians,male,,,2064
Michelangelo,Italians,male,Catholicism,,21019
Andy Warhol,Lemkos,male,Catholicism,Democratic Party,864
Allen Ginsberg,Jewish people,male,Buddhism,,1017
Qin Shi Huang,Han Chinese people,male,,,99598
Ovid,Romans,male,,,37802
Emperor Jing of Han,Han Chinese people,male,,,339079
Johannes Brahms,,male,agnosticism,,16339
Dan Brown,,male,agnosticism,,444645
Emperor Wen of Sui,,male,Buddhism,,1491686
Mary the Jewess,Jewish people,female,,,1882623
Alexis of Russia,,male,Eastern Orthodoxy,,95359
Hugo Chávez,,male,Catholicism,Revolutionary Bolivarian Movement-200,48874
James Watt,Scottish people,male,,,16142
Josip Broz Tito,Croats,male,atheism,Social Democratic Party of Croatia and Slavonia,16567
René Descartes,French,male,Catholic Church,,25525
Friedrich Nietzsche,Germans,male,,,10671
Sachin Tendulkar,,male,Hinduism,,57570
Tony Blair,,male,Catholic Church,Labour Party,3301347
Amitabh Bachchan,,male,Hinduism,,1828
"Diana, Princess of Wales",,female,Church of England,,24095
Ryan Giggs,Sierra Leone Creole people,male,,,479363
Queen Elizabeth The Queen Mother,,female,Anglicanism,,46744
Gordon Brown,Scottish people,male,Church of Scotland,Labour Party,13076
Elena Kagan,,female,Judaism,Democratic Party,2093225
Clarence Thomas,African Americans,male,Catholicism,Republican Party,28291766
Fidel Castro,,male,agnosticism,Communist Party of Cuba,38301
Maria Sharapova,,female,Greek Orthodox Church,,772173
Carl Barks,,male,atheism,,7345
Thein Sein,,male,Theravāda,Union Solidarity and Development Party,11309984
Umberto Eco,,male,atheism,,32003
Jacques Chaban-Delmas,,male,,Rally for the Republic,585154
Raymond Barre,,male,Catholicism,Union for French Democracy,585148
Angelina Jolie,,female,Catholicism,,5792809
Leo Tindemans,,male,,Christian Democratic and Flemish,782147
Gollum,Stoors,male,,,18600328
José Manuel Barroso,Portuguese,male,Catholicism,M.R.P.P.,354436
Steve Martin,English Americans,male,Baptists,,102910
Aaron Kwok,Cantonese people,male,Buddhism,,1137796
Harvey Milk,,male,Judaism,Democratic Party,195306
John M. Clayton,,male,Presbyterianism,Whig Party,626537
Léon Blum,,male,,French Section of the Workers' International,342137
Josh Duhamel,,male,Catholic Church,,690389
Cai Yuanpei,,male,,Kuomintang,301213
Muammar Gaddafi,,male,Quranism,Arab Socialist Union,53029
Moon Jae-in,,male,Catholic Church,Democratic Party,33862955
John Curtin,,male,Presbyterianism,Australian Labor Party,155377
Pope John XXIII,,male,Catholic Church,,23807
Dave Parker,African Americans,male,,,905783
"Eleonore of Austria, Queen of Poland",,female,Catholicism,,12274805
Khalid ibn al-Walid,Arabs,male,Islam,,23568537
Christopher Marlowe,English people,male,,,5771
Sacha Baron Cohen,Jewish people,male,Judaism,,45218
Sauli Niinistö,,male,Lutheranism,National Coalition Party,1042690
Dwyane Wade,African Americans,male,,,878666
Frans Timmermans,Limburgers,male,Catholic Church,Labour Party,9524458
Justin Bieber,,male,Evangelicalism,,23680998
Yasser Arafat,Arabs,male,Islam,Fatah,34289
Philip II of France,,male,Christianity,,25093
Isaac Asimov,Russian Americans,male,,Democratic Party,14573
Agatha Christie,British people,female,,,984
Rutherford B. Hayes,,male,Methodism,Republican Party,19729241
Ho Chi Minh,Vietnamese people,male,Vietnamese folk religion,Communist Party of Vietnam,67377
Diana Ross,African Americans,female,,,154695
Tycho Brahe,Danes,male,Lutheranism,,30027
Solomon,Israelites,male,Yahwism,,28329
Frederick William III of Prussia,,male,Calvinism,,220401
David Ben-Gurion,Jewish people,male,Judaism,Mapai,67765
Paul Gauguin,French,male,,,64719
Konstantin Rokossovsky,,male,,Communist Party of the Soviet Union,890263
Lot (biblical person),,male,monotheism,,350589
Jonathan Swift,Anglo-Irish people,male,Anglicanism,Tories,15614
Haile Selassie,,male,Ethiopian Orthodox Tewahedo Church,,42120
Andriy Shevchenko,,male,,Social Democratic Party of Ukraine (united),616622
Wole Soyinka,Yoruba people,male,,,33825
Constantine IV,,male,Christianity,,252487
Mel Gibson,,male,Catholic Church,Republican Party,44219
Keira Knightley,,female,atheism,,249897
Abdullah Gül,,male,Sunni Islam,Justice and Development Party,632854
Sarah Palin,Dutch,female,Christianity,Republican Party,2941511
Pieter Bruegel the Elder,Flemings,male,,,64384
J. M. Coetzee,,male,atheism,,333250
Gerhart Hauptmann,Germans,male,,,230776
Thomas the Apostle,,male,Christianity,,31459
Pope Gregory XVI,,male,Catholic Church,,59298
Eddie Murphy,African Americans,male,Christianity,,54539
Macarius of Egypt,,male,Catholic Church,,708289
Saint Nicholas,Greeks,male,Early Christianity,,54938
Richard Dawkins,British people,male,,,25867
John Henry Newman,,male,Catholic Church,,83895
Bruno Kreisky,,male,,Social Democratic Party of Austria,341950
John Legend,African Americans,male,,,1575279
Eusebio Kino,,male,Catholicism,,1340309
Antonio Inoki,Japanese people,male,Islam,Sports and Peace Party,689992
William Wordsworth,English people,male,Anglicanism,,33925
Isabella I of Castile,,female,Catholicism,,23909513
Suzanne Bonamici,,female,,Democratic Party,10174089
Tinie Tempah,Black British,male,,,24230625
Amjad Khan (actor),,male,Islam,,1096019
Maximian,,male,ancient Roman religion,,75088
Zlatan Ibrahimović,,male,Catholicism,,728776
Amerigo Vespucci,Italians,male,,,2062
Mario Monti,,male,Catholic Church,Civic Choice,548864
Ralph Waldo Emerson,,male,Unitarianism,,26202
Linus Pauling,,male,atheism,,37342
Hugh Laurie,,male,atheism,,151381
Hedy Lamarr,white people,female,,,170982
Kurt Vonnegut,,male,Unitarian Universalism,,16861
John Atta Mills,,male,Methodism,National Democratic Congress,1808036
John Landis,,male,Jewish people,,663389
LL Cool J,African Americans,male,,,170459
Edwin Moses,African Americans,male,,,578206
Oscar II,,male,Church of Sweden,,104650
Hergé,,male,lapsed Catholic,,14317
Vittorio De Sica,,male,Catholic Church,,32428
Bernardo Bertolucci,Italians,male,Catholicism,,50422
Casimir III the Great,,male,Christianity,,7362
Hjalmar Branting,,male,Church of Sweden,Swedish Social Democratic Party,326110
Tage Erlander,,male,Lutheranism,Swedish Social Democratic Party,280741
Meg Whitman,,female,Presbyterianism,Republican Party,741886
Sunita Williams,Slovene American,female,Hinduism,,2377150
Samarth Ramdas,,male,Hinduism,,638420
Jerzy Buzek,,male,Lutheranism,Civic Platform,735823
Otto Hahn,,male,Lutheranism,,46825
Otto Stern,Germans,male,,,396496
Kurt von Schleicher,,male,Lutheranism,independent politician,319997
Frederick William IV of Prussia,,male,Prussian Union of Churches,,236780
Paul Biya,,male,Catholicism,Cameroon People's Democratic Movement,392319
Jacob Zuma,Zulu,male,Protestantism,African National Congress,1103138
Mwai Kibaki,,male,Catholic Church,Party of National Unity,163287
Robert Michels,,male,,Social Democratic Party of Germany,449063
Blaise Compaoré,,male,Catholicism,Congress for Democracy and Progress,289470
Hassanal Bolkiah,,male,Islam,,47255438
Emomali Rahmon,Tajiks,male,Sunni Islam,People's Democratic Party of Tajikistan,393634
"Charlotte, Princess Royal",British people,female,Church of England,,391107
Augusta of Saxe-Weimar-Eisenach,,female,Protestantism,,2006910
Mykola Azarov,,male,,Party of Regions,26611823
José Antonio Primo de Rivera,,male,Catholic Church,Unión Monárquica Nacional,401544
Christian Wirth,,male,,Nazi Party,1357981
Bernhard Rust,,male,,Nazi Party,1265402
Johann Hermann Schein,,male,Lutheranism,,828894
Ivica Dačić,Serbs,male,,Socialist Party of Serbia,717917
Ernst Hanfstaengl,,male,,Nazi Party,1065029
Michael Bay,,male,Judaism,,568801
Eleanor of Castile,,female,Catholicism,,1304320
Venki Ramakrishnan,India,male,,,3421751
"Henry IV, Holy Roman Emperor",,male,Christianity,,27485413
Richard Walther Darré,,male,,Nazi Party,690525
Ernst Troeltsch,,male,Lutheranism,German Democratic Party,1180251
"Albert V, Duke of Bavaria",Germans,male,,,2777525
Al-Ma'mun,,male,Mu'tazila,,341374
Ira Gershwin,Russian Jews,male,,,15489
David McAllister,,male,,Christian Democratic Union,10477034
Alexander von Falkenhausen,,male,,German National People's Party,670475
Edgar Jung,,male,,German People's Party,873067
Chris Christie,,male,Catholicism,Republican Party,5847204
Patriarch Theodore II of Alexandria,,male,Eastern Orthodoxy,,1062023
Richard Brauer,Jewish people,male,,,605134
Carl Friedrich von Weizsäcker,,male,Lutheranism,,1306229
Jürgen Rieger,,male,,National Democratic Party of Germany,14035380
Hassan II of Morocco,Arabs,male,Sunni Islam,,410355
Meshell Ndegeocello,African Americans,female,Islam,,427564
Robert Todd Carroll,,male,atheism,,1352885
Karl Liebknecht,,male,,Social Democratic Party of Germany,39606848
Georg Cantor,Jewish people,male,Lutheranism,,12216
Kirsten Dunst,,female,Lutheranism,Democratic Party,17450
E. F. Schumacher,,male,Catholic Church,,348626
Marianne Cope,,female,Catholic Church,,1671381
Jawed Karim,,male,Islam,,6271255
Georg Simmel,,male,atheism,,106540
Caroline of Ansbach,,female,Protestantism,,50534
Otto Grotewohl,,male,,Independent Social Democratic Party of Germany,359099
Emma Goldman,Jewish people,female,atheism,,9764
Emily Brontë,English people,female,Anglicanism,,9810
Pope Julius II,,male,Catholic Church,,24755
Henri Poincaré,,male,atheism,,48740
Charles I of England,,male,Anglicanism,,7426
Ségolène Royal,,female,Catholicism,Socialist Party,563982
Ian Fleming,English people,male,,,57985
Little Richard,African Americans,male,,,147073
Mary I of England,,female,Catholic Church,,20713
Osman I,,male,Islam,,22492
Pamela Anderson,,female,Catholicism,,23035
Nikolay Basov,,male,,Communist Party of the Soviet Union,1555268
Ludwig von Mises,Jewish people,male,,,4826588
Wilhelm Reich,,male,atheism,Communist Party of Austria,198336
Elisabeth Schüssler Fiorenza,,female,Catholic Church,,4360074
Empress Michiko,,female,Shinto,,273646
Adolf von Thadden,,male,,Nazi Party,6868641
Ratko Mladić,Serbs,male,,,22742941
Archduke Maximilian Francis of Austria,,male,Catholic Church,,5954992
Derrick Brooks,African Americans,male,,,1283357
Vlade Divac,Serbs,male,,,322505
Emir Kusturica,Serbs,male,Serbian Orthodox Church,,429800
Karl Malden,Serbs,male,,,342375
William Holden,English Americans,male,,Republican Party,147352
James Caan,,male,,Republican Party,411085
Joseph Cotten,,male,,California Republican Party,16219
Snorri Sturluson,Icelanders,male,,,23408931
Boethius,,male,Catholic Church,,195684
José Martí,Criollo people,male,,Partido Auténtico,188158
Charlie Parker,African Americans,male,atheism,,54408
Harry Warner,Poles,male,,Republican Party,1298641
Umaru Musa Yar'Adua,,male,Islam,Peoples Democratic Party,3064046
Jeanne Moreau,French,female,,,800094
Alan Rickman,,male,,Labour Party,39879
Alain Delon,,male,Catholicism,,309161
Christian Schmidt (politician),,male,Lutheran Churches,Christian Social Union of Bavaria,39499479
Vince Vaughn,Irish people,male,lapsed Catholic,Republican Party,666910
Michael Praetorius,Germans,male,Lutheranism,,495224
Ofra Haza,Jewish people,female,,,66970
"Leopold V, Archduke of Austria",,male,Catholic Church,,1213349
Husayn ibn Ali,Arabs,male,Islam,,402587
Lena Horne,African Americans,female,,,263994
Gerard of Csanád,,male,Catholic Church,,1904123
Agus Salim,,male,Islam,Sarekat Islam,7220652
Hafez al-Assad,,male,Islam,Ba'ath Party,70843
Jorge Ben,African Brazilian,male,,,1019711
Mekhi Phifer,African Americans,male,,,1494839
Martha Gellhorn,,female,atheism,,449366
Alexander III of Russia,Russians,male,Eastern Orthodoxy,,1592
Viola Amherd,,female,Catholic Church,Christian Democratic People's Party,59342520
Paul Pierce,African Americans,male,,,956947
Mohammad Mosaddegh,,male,Shia Islam,National Front,216440
Max Bill,,male,,Ring of Independents,1919667
Sinclair Lewis,,male,atheism,,50714
Salma Hayek,,female,Catholicism,,27717
Karl Ludwig von Haller,,male,Catholicism,,3950942
Ehud Barak,,male,,Israeli Labor Party,168212
Zucchero Fornaciari,,male,atheism,,1230336
Kristen Stewart,,female,Christianity,,2629332
Mase,African Americans,male,,,4243085
Mahmoud Abbas,,male,Sunni Islam,Fatah,232595
Pope Innocent III,,male,Catholic Church,,24455
Jean Chrétien,,male,Catholicism,Liberal Party of Canada,75626
Joe Clark,,male,Catholicism,Progressive Conservative Party of Canada,63405
Lindsey Stirling,,female,Mormonism,,33554195
Harold Macmillan,,male,Anglicanism,Conservative Party,80933
Anthony Eden,,male,Anglicanism,Conservative Party,18949275
Ethel Merman,,female,Episcopal Church,Republican Party,100394
ASAP Rocky,African Americans,male,,,33754098
George Michael,British Cypriots,male,spiritual but not religious,,45985
Junichiro Koizumi,,male,,Liberal Democratic Party,49544
Harun al-Rashid,,male,Islam,,78388
Lee Kuan Yew,,male,agnosticism,People's Action Party,65064
Pope Clement V,,male,Catholic Church,,24102
Claude Simon,French,male,,,335247
Pope Pius V,,male,Catholic Church,,24074
Amartya Sen,,male,Hinduism,,51335
Thomas Hardy,English people,male,,,44743
Richard III of England,,male,Catholicism,,26284
Elijah,Israelites,male,Yahwism,,9840
Thor Heyerdahl,,male,atheism,,37799
Lukas Podolski,,male,Catholic Church,,1955932
Andre Iguodala,African Americans,male,,,2421536
Zachariah Chandler,,male,Presbyterianism,Whig Party,629882
Jim Bolger,,male,Catholicism,New Zealand National Party,362227
Alexis de Tocqueville,,male,Catholicism,,164153
Herbert Spencer,British people,male,,,248859
Eugène Terre'Blanche,,male,Afrikaanse Protestantse Kerk,Herstigte Nasionale Party,901247
Aleksandr Vasilevsky,,male,,Communist Party of the Soviet Union,624386
Frédéric Joliot-Curie,,male,atheism,French Communist Party,324005
"Francis I, Holy Roman Emperor",,male,Catholic Church,,148457
António de Oliveira Salazar,,male,Catholic Church,National Union,26301553
Mehmed V,,male,Sunni Islam,,208673
Claudio Abbado,,male,,independent politician,251379
"Anne, Princess Royal",British people,female,Church of England,,125231
Louis-Ferdinand Céline,French,male,,,84577
Frederick I of Prussia,,male,Calvinism,,72587
Amos Oz,Jewish people,male,Judaism,Meretz,330857
Saint Blaise,,male,Catholic Church,,454456
Josephine Baker,African Americans,female,Catholicism,,255083
Pierre Laval,,male,Catholic Church,French Section of the Workers' International,287859
Tiye,,female,religion of ancient Egypt,,156602
Edvard Beneš,Czechs,male,,Czech National Social Party,23592377
James Fauntleroy,African Americans,male,,,40849008
Betty Hutton,,female,Catholic Church,,327880
Pauline Bonaparte,,female,Catholic Church,,1179985
Jean-Claude Trichet,,male,,Unified Socialist Party,359343
José Ortega y Gasset,,male,,Agrupación al Servicio de la República,668027
Michael Bublé,Italian Canadians,male,,,621503
Edin Džeko,,male,Islam,,6926377
Cat Stevens,,male,Islam,,78747
Javier Solana,,male,,Spanish Socialist Workers' Party,391110
Willem-Alexander of the Netherlands,,male,Dutch Reformed Church,,100384
Frederick VI of Denmark,,male,Lutheranism,,186955
Gnassingbé Eyadéma,,male,Catholic Church,Rally of the Togolese People,367043
Johann Gottfried Herder,,male,Lutheranism,,294037
Andrey Vyshinsky,Russians,male,,Communist Party of the Soviet Union,462483
Rick Santorum,,male,Catholic Church,Republican Party,26713474
Leopold Mozart,,male,Catholic Church,,70095
"Rudolf IV, Duke of Austria",,male,Christianity,,743182
Georgios Papadopoulos,Greeks,male,Greek Orthodox Church,independent politician,406327
Archduke Franz Karl of Austria,,male,Catholicism,,476919
Konstantinos Karamanlis,Greeks,male,Eastern Orthodox Church,People's Party,351050
Ramiz Alia,Albanians,male,atheism,Party of Labour of Albania,267911
Too Short,African Americans,male,,,294515
Maria Anna of Spain,,female,Catholicism,,3008367
Vincent Auriol,,male,atheism,French Section of the Workers' International,627760
Léon Degrelle,,male,,Rex,924081
Russell Kirk,,male,Catholic Church,,1165221
Vidya Balan,,female,Hinduism,,2077273
Jet Li,,male,Buddhism,,16308
Ai Weiwei,Chinese,male,,,8572928
Edward IV of England,,male,Catholicism,,46390
"Anne of Austria, Queen of Poland",,female,Catholicism,,1362543
Meles Zenawi,,male,Eastern Orthodoxy,Ethiopian People's Revolutionary Democratic Front,393817
Julie Andrews,British people,female,,,78239
Owen Wilson,Irish Americans,male,,,294260
Mehmed VI,,male,Islam,,50217
Lucas Papademos,Greeks,male,Church of Greece,,2807634
Maria Theresa of Naples and Sicily,,female,Catholic Church,,8915652
Sirikit,,female,Buddhism,,846986
Mobutu Sese Seko,,male,Catholic Church,Popular Movement of the Revolution,64240
Adnan Oktar,Turks,male,Islam,Justice and Development Party,1181840
"Camillo Benso, Count of Cavour",Italians,male,deism,Historical Right,43152198
Robert Jordan,,male,Anglicanism,,26370
Alan García,,male,,American Popular Revolutionary Alliance.,335166
Farah Khan,,female,Islam,,1456401
Maria Amalia of Saxony,,female,Catholic Church,,4178716
Jacques Lacan,,male,atheism,,16153
Kate Hudson,,female,Judaism,,219349
Edward V of England,,male,Catholicism,,39709
Ian McKellen,,male,atheism,,15308
Pedro Calderón de la Barca,Spaniards,male,Catholic Church,,217358
Tiridates III of Armenia,,male,Armenian Apostolic Church,,1586592
Giacomo Leopardi,Italians,male,atheism,,45077
Pope John XII,,male,Catholic Church,,363851
Michael Collins (Irish leader),,male,,Sinn Féin,97509
Jomo Kenyatta,,male,,Kenya African National Union,171148
John Wycliffe,English people,male,Protestantism,,16483
Orpheus,Greeks,male,,,22877693
Mani Ratnam,,male,atheism,,222441
Michael Moore,,male,Catholic Church,Democratic Party,74461
Nina Simone,African Americans,female,,,214233
William Henry Smith (1825–1891),,male,,Conservative Party,1325243
Joseph Gordon-Levitt,American Jews,male,Judaism,Democratic Party,1817766
Romário,,male,,Brazilian Socialist Party,615807
Al Leiter,,male,,Republican Party,920936
Georgy Malenkov,,male,atheism,Communist Party of the Soviet Union,38584473
Mohammad Khatami,,male,Shia Islam,Association of Combatant Clerics,193208
Zhang Ziyi,,female,,China Zhi Gong Party,72811
Roger Waters,,male,atheism,,173825
Norman Mailer,Jewish people,male,Judaism,,189774
Fredric March,,male,,Democratic Party,63556
Stan Lee,Jewish people,male,agnosticism,,18598186
Xiang Yu,Han Chinese people,male,,,822325
Lars Løkke Rasmussen,,male,Lutheranism,Venstre,20502322
Valentina Matviyenko,,female,Russian Orthodox Church,United Russia,6476246
Juana Inés de la Cruz,,female,Catholicism,,363533
Saint Sebastian,,male,Catholic Church,,246833
Zeenat Aman,,female,Islam,,992816
Jorge Amado,,male,atheism,,421320
Leoš Janáček,Moravians,male,atheism,,132809
Ivan Konev,,male,,Communist Party of the Soviet Union,864824
Greg Mankiw,,male,,Republican Party,453982
Billy Crystal,American Jews,male,Judaism,,4649
Sally Field,,female,,Democratic Party,240361
Bodhidharma,,male,Buddhism,,4285
Langston Hughes,African Americans,male,,,21814770
Chen Yi (marshal),,male,,Chinese Communist Party,308986
Emilio Aguinaldo,,male,Catholic Church,Katipunan,144026
Yaroslav the Wise,,male,Eastern Orthodoxy,,42213
Duns Scotus,,male,Catholic Church,,34293405
Shamil Basayev,,male,Islam,independent politician,386473
Domenico Ghirlandaio,,male,Catholic Church,,199689
Shapur I,,male,Zoroastrianism,,140700
Ezra,Jewish people,male,Judaism,,9839
Hello Kitty,English people,female,,,54295
Ignacy Jan Paderewski,Poles,male,,Front Morges,711408
Paul Ricœur,,male,Protestantism,,457623
Ibrahim Rugova,Albanians,male,Islam,Democratic League of Kosovo,537725
Étienne Geoffroy Saint-Hilaire,French,male,,,396028
George Andrew Olah,,male,agnosticism,,758753
James Woods,,male,Catholic Church,Republican Party,168576
Ferdinand VI of Spain,,male,Catholic Church,,149448
Marshall McLuhan,,male,Catholicism,,19548
Roger II of Sicily,Normans,male,Christianity,,79075
Sirimavo Bandaranaike,Sinhalese,female,Theravāda,Sri Lanka Freedom Party,436261
Titus O'Neil,African Americans,male,,,27574460
Zhang Dejiang,,male,,Chinese Communist Party,10253760
Zhao Wei,,female,Buddhism,,1816209
Mahmud I,,male,Islam,,208623
Mustafa II,,male,Islam,,102345
Vladimir Zhirinovsky,Jewish people,male,Russian Orthodox Church,Liberal Democratic Party of Russia,392566
Milo Đukanović,,male,atheism,League of Communists of Montenegro,498265
Anne of Brittany,,female,Catholic Church,,642214
Alexander Herzen,Russians,male,,,480014
Francisco de Quevedo,Spaniards,male,Catholic Church,,291311
Thomas Sankara,,male,Catholicism,African Independence Party,165553
Alexei Kosygin,Russians,male,,Communist Party of the Soviet Union,609234
Cordell Hull,,male,Episcopal Church,Democratic Party,267720
Jon Dahl Tomasson,,male,Lutheranism,,735169
Zimri-Lim,,male,Sumerian religion,,9977982
Francis II of the Two Sicilies,,male,Catholic Church,,371325
Joseph Addison,,male,Anglicanism,Whigs,163645
Stephen Crane,,male,atheism,,57799
Mátyás Rákosi,,male,atheism,Communist Party of Hungary,847908
Sharon den Adel,,female,Catholicism,,623393
Varg Vikernes,,male,modern Paganism,,305561
Linda Hamilton,,female,,Democratic Party,63186
"Mary, Crown Princess of Denmark",,female,Church of Denmark,,442146
Bo Diddley,African Americans,male,,,5033
Jackie Joyner-Kersee,African Americans,female,,,458654
Wallis Simpson,,female,Catholic Church,,46854
Liu Xiang (hurdler),,male,,Chinese Communist Party,875820
Evanna Lynch,Irish people,female,,,3931304
Channing Tatum,Irish Americans,male,,,2095762
Symon Petliura,,male,Eastern Orthodoxy,Revolutionary Ukrainian Party,395976
Khosrow II,Persians,male,Zoroastrianism,,140488
Joseph Estrada,,male,Catholicism,Pwersa ng Masang Pilipino,279629
Carol II of Romania,,male,Romanian Orthodox Church,National Renaissance Front,37258
Amílcar Cabral,,male,,African Party for the Independence of Guinea and Cape Verde,664754
John Millington Synge,Irish people,male,,,349496
"Prince Frederick, Duke of York and Albany",,male,Catholic Church,,209348
Adolfo Suárez,,male,Catholicism,Democratic and Social Centre,403073
Félix Houphouët-Boigny,,male,Catholicism,Democratic Party of Côte d'Ivoire – African Democratic Rally,418109
Julia Child,White Americans,female,,,16441
Ismail I,Kurds,male,Islam,,544668
David Tennant,,male,,Labour Party,1672146
Nikos Kazantzakis,Greeks,male,,,51418
Sol Campbell,,male,,Conservative Party,753184
Pierre Bayle,,male,Calvinism,,308126
Tomás Luis de Victoria,,male,Catholic Church,,349641
Fidel V. Ramos,,male,Methodism,Lakas–CMD,378466
Alain Juppé,,male,,Union for a Popular Movement,434931
Jeff Buckley,,male,lapsed Catholic,,173691
Jeremy Clarkson,,male,atheism,,265586
Ngô Bảo Châu,Vietnamese people,male,,,11133659
Sam Houston,,male,Baptists,,60024
John III of Portugal,,male,Catholicism,,147123
Sean Combs,African Americans,male,,,152447
Charles Borromeo,,male,Catholic Church,,562802
Laurent Fabius,,male,,Socialist Party,318911
Ramzan Kadyrov,,male,Sunni Islam,United Russia,647880
Mir-Hossein Mousavi,,male,Islam,The Green Path of Hope,844215
Faisal of Saudi Arabia,Arabs,male,Islam,,207314
Anerood Jugnauth,Indo-Mauritian,male,Hinduism,Mauritian Militant Movement,255338
Antonio Villaraigosa,,male,,Democratic Party,21347195
David Oyelowo,Yoruba people,male,Christian,,991202
Judith Butler,Americans,non-binary,,,148809
Arrigo Boito,,male,atheism,,84576
Albert Finney,English people,male,,,43910
Scorpion II,,male,religion of ancient Egypt,,1946795
John Browning,,male,The Church of Jesus Christ of Latter-day Saints,,148837
Elihu Root,,male,,Republican Party,287468
Bryan Singer,Jewish people,male,,,2573789
Theophilus of Antioch,,male,Christianity,,315098
Jason Kidd,Irish Americans,male,Catholicism,,462394
Eartha Kitt,African Americans,female,,,488957
Manuel Roxas,,male,Catholic Church,Liberal Party of the Philippines,747155
Rose Byrne,,female,agnosticism,,854487
Anne Baxter,,female,,Republican Party,187081
Elle Fanning,,female,Baptists,,1653786
Sarah Silverman,American Jews,female,Judaism,Democratic Party,1152227
Octavia Spencer,African Americans,female,,,8694199
Ernst Ludwig Kirchner,Germans,male,,,1138120
Gianni Rivera,,male,,Christian Democracy,615868
Caroline Kennedy,,female,Santería,Democratic Party,341911
Juliette Lewis,,female,Scientology,,484066
"Marie of Brabant, Queen of France",,female,Catholicism,,1147030
Kelly Hu,Chinese Americans,female,,,20646206
Agnes Moorehead,,female,,Republican Party,202643
Billy Ray Cyrus,Scotch-Irish Americans,male,,,169602
"Maria Amalia, Holy Roman Empress",,female,Catholic Church,,7245925
Monica (singer),African Americans,female,,,216994
Esther Williams,,female,,California Republican Party,896498
Ani DiFranco,,female,atheism,,2126
Julianne Hough,,female,,Democratic Party,10292841
Lisa Ann,Italians,female,,,13613264
Yoshirō Mori,,male,,Liberal Democratic Party,352104
Leontyne Price,African Americans,female,,,410427
Emina Jahović,,female,Islam,,2588797
Birgit Nilsson,,female,Lutheranism,,762369
Maria Theresa of Austria (1816–1867),,female,Catholic Church,,9389711
Rita Wilson,Greek American,female,Eastern Orthodoxy,,1088740
Maisie Williams,,female,Anglicanism,,10110097
Flannery O'Connor,,female,Catholic Church,,96429
Maggie Cheung,Han,female,,,150060
Khaleda Zia,,female,Islam,Bangladesh Nationalist Party,393763
Mary Baker Eddy,,female,Christian Science,,125301
Alfonso VI of León and Castile,,male,Christianity,,69607
"Joan of France, Duchess of Berry",,female,Catholic Church,,1614613
Alexa Chung,British Chinese,female,,,4714169
Rose Kennedy,,female,Catholicism,Democratic Party,23467188
Marcel Pagnol,,male,atheism,,556674
Kelly Preston,,female,Scientology,,282746
Joanna la Beltraneja,,female,Catholicism,,356550
Eleonora Gonzaga (1630–1686),,female,Catholicism,,9487568
Odetta,African Americans,female,,,899619
Simon Pegg,,male,atheism,,147672
Maria Pia of Savoy,,female,Catholic Church,,5558358
Theodore Sturgeon,,male,atheism,,30564
Emma Lazarus,,female,Judaism,,418281
Edith Nourse Rogers,,female,,Republican Party,1524818
"Birgitte, Duchess of Gloucester",,female,Church of England,,381207
Bill Russell,African Americans,male,,,412214
Lucullus,,male,ancient Roman religion,optimates,333603
Kristina Mladenovic,Serbs,female,,,20948288
Grigory Potemkin,,male,Russian Orthodox Church,,475101
Sweyn II of Denmark,,male,Christianity,,272717
Menzies Campbell,,male,,Liberal Party,354520
Caroline Flint,,female,,Labour Party,420234
Saif Ali Khan,,male,Islam,,1606261
Christie Brinkley,,female,,Democratic Party,265415
Eleanor of Alburquerque,,female,Catholicism,,2781057
Olga Tokarczuk,,female,,The Greens,3268050
Riley Keough,,female,Judaism,,608982
Mary Fallin,,female,,Republican Party,2144885
Rishi Kapoor,,male,Hinduism,,1315337
Danny Alexander,,male,,Liberal Democrats,1854318
Eudora Welty,White Americans,female,,,147422
Katy Jurado,,female,Catholicism,,73695
Jane Powell,,female,,Republican Party,218585
Alan Beith,,male,,Liberal Democrats,413936
Sammy Wilson (politician),,male,,Democratic Unionist Party,1855074
Chelsea Handler,American Jews,female,,Democratic Party,3266703
Cree Summer,African Americans,female,,,437258
Ben Wallace (politician),,male,,Conservative Party,1870449
Aṅgulimāla,,male,Buddhism,,1882828
David Willetts,,male,,Conservative Party,415061
Audra McDonald,African Americans,female,,,1211928
Liam Byrne,,male,,Labour Party,765249
Carrie Chapman Catt,,female,,Commonwealth Land Party,764036
Yevgeny Primakov,,male,Russian Orthodox Church,Communist Party of the Soviet Union,520754
Jacob Jordaens,Flemings,male,Protestantism,,192486
Joan Chen,,female,,California Republican Party,345769
Azarmidokht,,female,Zoroastrianism,,9485064
Elena Stasova,,female,,Communist Party of the Soviet Union,24423092
Greta Gerwig,,female,Unitarian Universalism,,26572102
